TestName,SubItem,SubSubItem,test time(s),Atlas_test_time(s),Atlas_SubItem,Atlas_Item,Is_Found,Commnet
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT,0.005468,0.007283,Discharge_Initial,Power Discharge_Initial PPBATT_VCC_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT,0.006911,0.007137,Discharge_Initial,Power Discharge_Initial PPVCC_MAIN_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT,0.006404,0.007402,Discharge_Initial,Power Discharge_Initial PPVCC_HIGH_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,SPK_BST_Discharge,0.007063,0.007130,Discharge_Initial,Power Discharge_Initial SPK_BST_Discharge,Y,long time
Power,Discharge_Initial,DELAY_1000MS_After_Connect_Discharge,1.006316,1.014232,Discharge_Initial,Power Discharge_Initial DELAY_1000MS_After_Connect_Discharge,Y,long time
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,0.009710,0.006226,Discharge_Initial,Power Discharge_Initial PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,Y,short time
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT,0.005670,0.005525,Discharge_Initial,Power Discharge_Initial PPBATT_VCC_DISCHARGE_DISCONNECT,Y,short time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT,0.006691,0.005034,Discharge_Initial,Power Discharge_Initial PPVCC_MAIN_DISCHARGE_DISCONNECT,Y,short time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT,0.005699,0.009666,Discharge_Initial,Power Discharge_Initial PPVCC_HIGH_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,SPK_BST_Discharge_Disable,0.005865,0.006919,Discharge_Initial,Power Discharge_Initial SPK_BST_Discharge_Disable,Y,long time
Power,Discharge_Initial,SystemScheduler,0.006155+0.005468+0.006911+0.006404+0.007063+1.006316+0.009710+0.005670+0.006691+0.005699+0.005865,1.08356,,,,
,,,,,,,,
,,,,,,,,
Power,VoltageCheck_Safety_VBAT0V8,UUT_UART_ENABLE,0.005767,0.003862,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 UUT_UART_ENABLE,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,Bellatrix_UART_ENABLE,0.005417,0.003833,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 Bellatrix_UART_ENABLE,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,BATT_POWER_ON,0.008666,0.007851,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 BATT_POWER_ON,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,DELAY_10MS_1,0.013584,0.016513,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 DELAY_10MS_1,Y,long time
Power,VoltageCheck_Safety_VBAT0V8,BATT_MODE_TO_SMALL,0.007205,0.000487,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 BATT_MODE_TO_SMALL,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,VBAT_SET_0V8,0.025157,0.021620,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 VBATT_SET_0V8,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,DELAY_100MS_1,0.105673,0.104993,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 DELAY_100MS_1,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,PPBATT_VCC_FB,0.102194,0.097075,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 PPBATT_VCC_FB,Y,short time
Power,VoltageCheck_Safety_VBAT0V8,BATT_POWER_OFF,0.006898,0.007150,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 BATT_POWER_OFF,Y,long time
Power,VoltageCheck_Safety_VBAT0V8,VBAT_SET_0V,0.018864,0.021956,VoltageCheck_Safety_VBAT0V8,Power VoltageCheck_Safety_VBAT0V8 VBATT_SET_0V,Y,long time
Power,VoltageCheck_Safety_VBAT0V8,SystemScheduler,0.005767+0.005417+0.008666+0.013584+0.007205+0.025157+0.105673+0.102194+0.006898+0.018864,0.28534,,,,
,,,,,,,,
,,,,,,,,
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT_1,0.006683,0.006269,Discharge_Initial_1,Power Discharge_Initial_1 PPVBUS_USB_EMI_DISCHARGE_CONNECT,Y,short time
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT_1,0.006921,0.005816,Discharge_Initial_1,Power Discharge_Initial_1 PPBATT_VCC_DISCHARGE_CONNECT,Y,short time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT_1,0.006536,0.006213,Discharge_Initial_1,Power Discharge_Initial_1 PPVCC_MAIN_DISCHARGE_CONNECT,Y,short time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT_1,0.006924,0.006143,Discharge_Initial_1,Power Discharge_Initial_1 PPVCC_HIGH_DISCHARGE_CONNECT,Y,short time
Power,Discharge_Initial,SPK_BST_Discharge_1,0.006508,0.006613,Discharge_Initial_1,Power Discharge_Initial_1 SPK_BST_Discharge,Y,long time
Power,Discharge_Initial,DELAY_1000MS_After_Connect_Discharge_1,1.002889,1.014232,Discharge_Initial,Power Discharge_Initial DELAY_1000MS_After_Connect_Discharge,Y,long time
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT_1,0.006130,0.006438,Discharge_Initial_1,Power Discharge_Initial_1 PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT_1,0.008198,0.007110,Discharge_Initial_1,Power Discharge_Initial_1 PPBATT_VCC_DISCHARGE_DISCONNECT,Y,short time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT_1,0.004794,0.009945,Discharge_Initial_1,Power Discharge_Initial_1 PPVCC_MAIN_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT_1,0.006641,0.006268,Discharge_Initial_1,Power Discharge_Initial_1 PPVCC_HIGH_DISCHARGE_DISCONNECT,Y,short time
Power,Discharge_Initial,SPK_BST_Discharge_Disable_1,0.007148,0.006772,Discharge_Initial_1,Power Discharge_Initial_1 SPK_BST_Discharge_Disable,Y,short time
Power,Discharge_Initial,SystemScheduler,0.006683+0.006921+0.006536+0.006924+0.006508+1.002889+0.006130+0.008198+0.004794+0.006641+0.007148,1.081819,,,,
,,,,,,,,
,,,,,,,,
Power,VoltageCheck_Safety_VBUS1V25,VBUS_BYPASS_VDM,0.014486,0.013771,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 VBUS_BYPASS_VDM,Y,short time
Power,VoltageCheck_Safety_VBUS1V25,USB_POWER_ON,0.009279,0.007836,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 USB_POWER_ON,Y,short time
Power,VoltageCheck_Safety_VBUS1V25,DELAY_10MS_1,0.010575,0.020185,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 DELAY_10MS_1,Y,long time
Power,VoltageCheck_Safety_VBUS1V25,VBUS_to_1V25,0.016767,0.016220,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 VBUS_to_1V25,Y,short time
Power,VoltageCheck_Safety_VBUS1V25,DELAY_100MS_1,0.105954,0.109777,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 DELAY_100MS_1,Y,long time
Power,VoltageCheck_Safety_VBUS1V25,PPVBUS_USB_EMI,0.100463,0.101193,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 PPVBUS_USB_EMI,Y,long time
Power,VoltageCheck_Safety_VBUS1V25,USB_POWER_OFF,0.008355,0.010184,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 USB_POWER_OFF,Y,long time
Power,VoltageCheck_Safety_VBUS1V25,VBUS_to_0V,0.017448,0.016696,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 VBUS_to_0V,Y,short time
Power,VoltageCheck_Safety_VBUS1V25,VBUS_BYPASS_DISCONNECT,0.014551,0.015123,VoltageCheck_Safety_VBUS1V25,Power VoltageCheck_Safety_VBUS1V25 VBUS_BYPASS_DISCONNECT,Y,long time
Power,VoltageCheck_Safety_VBUS1V25,SystemScheduler,0.014486+0.009279+0.010575+0.016767+0.105954+0.100463+0.008355+0.017448+0.014551,0.310985,,,,
,,,,,,,,
,,,,,,,,
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT_2,0.006012,0.006898,Discharge-Initial_2,Power Discharge-Initial_2 PPVBUS_USB_EMI_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT_2,0.005946,0.007168,Discharge-Initial_2,Power Discharge-Initial_2 PPBATT_VCC_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT_2,0.005187,0.007112,Discharge-Initial_2,Power Discharge-Initial_2 PPVCC_MAIN_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT_2,0.005789,0.006134,Discharge-Initial_2,Power Discharge-Initial_2 PPVCC_HIGH_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,SPK_BST_Discharge_2,0.006965,0.006100,Discharge-Initial_2,Power Discharge-Initial_2 SPK_BST_Discharge,Y,short time
Power,Discharge_Initial,DELAY_2000MS_After_Connect_Discharge_2,2.006233,2.012601,Discharge-Initial_2,Power Discharge-Initial_2 DELAY_2000MS_After_Connect_Discharge,Y,long time
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT_2,0.006557,0.008381,Discharge-Initial_2,Power Discharge-Initial_2 PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_DISCONNECT_2,0.006257,0.006682,Discharge-Initial_2,Power Discharge-Initial_2 PPBATT_VCC_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_DISCONNECT_2,0.008125,0.009460,Discharge-Initial_2,Power Discharge-Initial_2 PPVCC_MAIN_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_DISCONNECT_2,0.005830,0.006095,Discharge-Initial_2,Power Discharge-Initial_2 PPVCC_HIGH_DISCHARGE_DISCONNECT,Y,long time
Power,Discharge_Initial,SPK_BST_Discharge_Disable_2,0.005813,0.006778,Discharge-Initial_2,Power Discharge-Initial_2 SPK_BST_Discharge_Disable,Y,long time
Power,Discharge_Initial,SystemScheduler,0.006012+0.005946+0.005187+0.005789+0.006965+2.006233+0.006557+0.006257+0.008125+0.005830+0.005813,2.083409,,,,
,,,,,,,,
,,,,,,,,
Power,VoltageCheck_Safety_VBAT4V3,UUT_UART_ENABLE,0.005498,0.004207,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 UUT_UART_ENABLE,Y,short time
Power,VoltageCheck_Safety_VBAT4V3,Bellatrix_UART_ENABLE,0.004518,0.003849,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 Bellatrix_UART_ENABLE,Y,short time
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_BIG,0.010726,0.008694,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 BATT_MODE_TO_BIG,Y,short time
Power,VoltageCheck_Safety_VBAT4V3,BATT_POWER_ON,0.006131,0.008852,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 BATT_POWER_ON,Y,long time
Power,VoltageCheck_Safety_VBAT4V3,DELAY_10MS_1,0.014174,0.020196,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 DELAY_10MS_1,Y,long time
Power,VoltageCheck_Safety_VBAT4V3,VBAT_SET_4V3,0.018524,0.019424,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 VBATT_SET_4V3,Y,long time
Power,VoltageCheck_Safety_VBAT4V3,DELAY_400MS,0.404571,0.412722,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 DELAY_400MS,Y,long time
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_SMALL,0.006737,0.000488,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 BATT_MODE_TO_SMALL,Y,short time
Power,VoltageCheck_Safety_VBAT4V3,PPBATT_VCC_FB,0.102489,0.098500,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 PPBATT_VCC_FB,Y,short time
Power,VoltageCheck_Safety_VBAT4V3,BATT_RESET_CURRENT,0.436195,0.107336,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 BATT_RESET_CURRENT,Y,short short time
Power,VoltageCheck_Safety_VBAT4V3,DELAY_1000MS_1,1.005715,1.010071,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 DELAY_1000MS,N,long time
Power,VoltageCheck_Safety_VBAT4V3,BATT_RESET_CURRENT_D1sec,0.433645,0.110932,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 BATT_RESET_CURRENT_D1sec,Y,short short time
Power,VoltageCheck_Safety_VBAT4V3,BATT_MODE_TO_BIG_1,0.007948,0.007892,VoltageCheck_Safety_VBAT4V3,Power VoltageCheck_Safety_VBAT4V3 BATT_MODE_TO_BIG_1,Y,short time
Power,VoltageCheck_Safety_VBAT4V3,SystemScheduler,0.005498+0.004518+0.010726+0.006131+0.014174+0.018524+0.404571+0.006737+0.102489+0.436195+1.005715+0.433645+0.007948,1.813163,,,,
,,,,,,,,
,,,,,,,,
Power,Discharge_BatteryFloat,BATT_POWER_OFF,0.008112,0.009163,Discharge_BatteryFloat,Power Discharge_BatteryFloat BATT_POWER_OFF,Y,long time
Power,Discharge_BatteryFloat,VBAT_SET_0V,0.016206,0.018912,Discharge_BatteryFloat,Power Discharge_BatteryFloat VBATT_SET_0V,Y,long time
Power,Discharge_BatteryFloat,DELAY_10MS_2,0.012949,0.017264,CurrentCheck_Hibernation,Power CurrentCheck_Hibernation DELAY_10MS_2,Y,long time
Power,Discharge_BatteryFloat,ELOAD_INPUT1_TO_PPVCC_MAIN,0.019549,0.020020,Discharge_BatteryFloat,Power Discharge_BatteryFloat ELOAD_INPUT1_TO_PPVCC_MAIN,Y,long time
Power,Discharge_BatteryFloat,Enable_Eload1_After_Connect,0.007468,0.007636,Discharge_BatteryFloat,Power Discharge_BatteryFloat Enable_Eload1_After_Connect,Y,long time
Power,Discharge_BatteryFloat,Set_Eload1_200mA,0.118162,0.027083,Discharge_BatteryFloat,Power Discharge_BatteryFloat Set_Eload1_200mA,Y,short time
Power,Discharge_BatteryFloat,Delay_1500MS_4,1.502778,1.507881,Discharge_BatteryFloat,Power Discharge_BatteryFloat DELAY_1500MS,N,long time
Power,Discharge_BatteryFloat,Set_Eload1_0mA,0.123354,0.011445,Discharge_BatteryFloat,Power Discharge_BatteryFloat Set_Eload1_0mA,Y,short short time
Power,Discharge_BatteryFloat,Eload1_Disable,0.112799,0.114107,Discharge_BatteryFloat,Power Discharge_BatteryFloat Eload1_Disable,Y,long time
Power,Discharge_BatteryFloat,ELOAD_INPUT1_DISCONNECT_PPVCC_MAIN,0.027229,0.027637,Discharge_BatteryFloat,Power Discharge_BatteryFloat ELOAD_INPUT1_DISCONNECT_PPVCC_MAIN,Y,long time
Power,Discharge_BatteryFloat,SystemScheduler,0.008112+0.016206+0.012949+0.019549+0.007468+0.118162+1.502778+0.123354+0.112799+0.027229,1.761148,,,,
,,,,,,,,
,,,,,,,,
Power,VoltageCheck_Safety_VBAT0V4,BATT_POWER_ON,0.008450,0.007439,VoltageCheck_Safety_VBAT0V4,Power VoltageCheck_Safety_VBAT0V4 BATT_POWER_ON,Y,short time
Power,VoltageCheck_Safety_VBAT0V4,Set_VBAT_0V4,0.018219,0.018432,VoltageCheck_Safety_VBAT0V4,Power VoltageCheck_Safety_VBAT0V4 Set_VBATT_0V4,Y,long time
Power,VoltageCheck_Safety_VBAT0V4,Delay_2000MS_4,2.002972,2.013956,VoltageCheck_Safety_VBAT0V4,Power VoltageCheck_Safety_VBAT0V4 Delay_2000MS_4,Y,long time
Power,VoltageCheck_Safety_VBAT0V4,BATT_POWER_OFF,0.008364,0.007653,VoltageCheck_Safety_VBAT0V4,Power VoltageCheck_Safety_VBAT0V4 BATT_POWER_OFF,Y,short time
Power,VoltageCheck_Safety_VBAT0V4,Set_VBAT_0V,0.017678,0.014868,VoltageCheck_Safety_VBAT0V4,Power VoltageCheck_Safety_VBAT0V4 Set_VBATT_0V,Y,short time
Power,VoltageCheck_Safety_VBAT0V4,SystemScheduler,0.008450+0.018219+2.002972+0.008364+0.017678,2.062348,,,,
,,,,,,,,
,,,,,,,,
Power,VoltageCheck_Safety_VBUS5V,PP5V0_TO_VDM_BOARD,0.006110,0.005470,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V PP5V0_TO_VDM_BOARD,Y,short time
Power,VoltageCheck_Safety_VBUS5V,Set_LDO_PP_5V0_ON,0.018624,0.016015,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Set_LDO_PP_5V0_ON,Y,short time
Power,VoltageCheck_Safety_VBUS5V,Change_VDM_PDO_TO_2,0.015417,0.015972,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Change_VDM_PDO_TO_2,Y,long time
Power,VoltageCheck_Safety_VBUS5V,5V_To_VDM_EXT,0.015203,0.015520,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V 5V_To_VDM_EXT,Y,long time
Power,VoltageCheck_Safety_VBUS5V,ACE_SBU_Conn_SWD,0.008569,0.008819,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V ACE_SBU_Conn_SWD,Y,long time
Power,VoltageCheck_Safety_VBUS5V,Power_To_VDM,0.011358,0.011406,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Power_To_VDM,Y,long time
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_1,0.014026,0.017975,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V DELAY_10MS_1,Y,long time
Power,VoltageCheck_Safety_VBUS5V,USB_POWER_ON,0.008452,0.008963,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V USB_POWER_ON,Y,long time
Power,VoltageCheck_Safety_VBUS5V,DELAY_10MS_3,0.014337,0.017589,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V DELAY_10MS_3,Y,long time
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_USB_EMI_VDM,0.005471,0.006435,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V PPVBUS_USB_EMI_VDM,Y,long time
Power,VoltageCheck_Safety_VBUS5V,VBUS_to_5V,0.018259,0.016792,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V VBUS_to_5V,Y,short time
Power,VoltageCheck_Safety_VBUS5V,VDM_CC1_TO_ACE_CC1,0.007480,0.009483,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V VDM_CC1_TO_ACE_CC1,Y,long time
Power,VoltageCheck_Safety_VBUS5V,DELAY_2000MS,2.005998,2.014585,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V DELAY_2000MS,Y,long time
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_FB_DEBUG_1,0.323179,0.257996,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V PPVBUS_FB_DEBUG_1,Y,short time
Power,VoltageCheck_Safety_VBUS5V,Set_GAIN_100_DEBUG,0.037502,0.032984,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Set_GAIN_100_DEBUG,Y,short time
Power,VoltageCheck_Safety_VBUS5V,IBUS_DEBUG,0.132612,0.127354,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V IBUS_DEBUG,Y,short time
Power,VoltageCheck_Safety_VBUS5V,Set_GAIN_10_DEBUG,0.036793,0.033363,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Set_GAIN_10_DEBUG,Y,short time
Power,VoltageCheck_Safety_VBUS5V,VBUS_to_0V,0.015812,0.016667,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V VBUS_to_0V,Y,long time
Power,VoltageCheck_Safety_VBUS5V,VDM_CC1_TO_DISCONNECT,0.007542,0.009096,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V VDM_CC1_TO_DISCONNECT,Y,long time
Power,VoltageCheck_Safety_VBUS5V,USB_POWER_OFF,0.009208,0.008903,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V USB_POWER_OFF,Y,short time
Power,VoltageCheck_Safety_VBUS5V,Change_PDO_Count_TO_5,0.655502,0.653278,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Change_PDO_Count_TO_5,Y,short time
Power,VoltageCheck_Safety_VBUS5V,Disable_USB_cable,0.016483,0.016785,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Disable_USB_cable,Y,long time
Power,VoltageCheck_Safety_VBUS5V,PPVBUS_USB_EMI_DISCONNECT,0.006763,0.007665,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V PPVBUS_USB_EMI_DISCONNECT,Y,long time
Power,VoltageCheck_Safety_VBUS5V,Power_To_DISCONNECT,0.013453,0.012093,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V Power_To_DISCONNECT,Y,short time
Power,VoltageCheck_Safety_VBUS5V,PP5V0_TO_VDM_DISCONNECT,0.005517,0.007109,VoltageCheck_Safety_VBUS5V,Power VoltageCheck_Safety_VBUS5V PP5V0_TO_VDM_DISCONNECT,Y,long time
Power,VoltageCheck_Safety_VBUS5V,SystemScheduler,0.006110+0.018624+0.015417+0.015203+0.008569+0.011358+0.014026+0.008452+0.014337+0.005471+0.018259+0.007480+2.005998+0.323179+0.037502+0.132612+0.036793+0.015812+0.007542+0.009208+0.655502+0.016483+0.006763+0.013453+0.005517,3.348317,,,,
,,,,,,,,
,,,,,,,,
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT_3,0.007486,0.007491,Discharge_Initial_3,Power Discharge_Initial_3 PPVBUS_USB_EMI_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT_3,0.007031,0.007437,Discharge_Initial_3,Power Discharge_Initial_3 PPBATT_VCC_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT_3,0.007195,0.007501,Discharge_Initial_3,Power Discharge_Initial_3 PPVCC_MAIN_DISCHARGE_CONNECT,Y,long time
Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT_3,0.008636,0.007458,Discharge_Initial_3,Power Discharge_Initial_3 PPVCC_HIGH_DISCHARGE_CONNECT,Y,short time
Power,Discharge_Initial,SPK_BST_Discharge_3,0.008079,0.007813,Discharge_Initial_3,Power Discharge_Initial_3 SPK_BST_Discharge,Y,short time
Power,Discharge_Initial,DELAY_2000MS_After_Connect_Discharge_3,2.002435,2.012451,Discharge_Initial_3,Power Discharge_Initial_3 DELAY_2000MS_After_Connect_Discharge,Y,long time
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_DISCONNECT_3,0.007366,0.007364,Discharge_Initial_3,Power Discharge_Initial_3 PPVBUS_USB_EMI_DISCHARGE_DISCONNECT,Y,short time
